Date,CourseID,RoundID,HoleID,Par,Tee,Pin,Length,DriveDist,MakeDist,Score,Result,ResultLabel
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,1,3,reg,A,326.000000,314.000000,29.000000,2,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,2,3,reg,A,278.000000,312.000000,5.000000,3,0,PAR
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,3,4,reg,B,488.000000,312.000000,10.000000,3,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,4,4,reg,B,469.000000,393.000000,11.000000,5,1,BOGEY
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,5,3,reg,A,273.000000,272.000000,22.000000,2,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,6,3,reg,A,214.000000,190.000000,33.000000,2,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,7,3,reg,A,267.000000,162.000000,32.000000,3,0,PAR
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,8,3,reg,A,248.000000,227.000000,21.000000,2,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,9,3,reg,A,252.000000,301.000000,19.000000,3,0,PAR
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,10,3,reg,A,289.000000,265.000000,40.000000,2,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,11,4,reg,D,510.000000,289.000000,17.000000,5,1,BOGEY
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,12,3,reg,B,298.000000,253.000000,3.000000,3,0,PAR
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,13,3,reg,B,332.000000,351.000000,17.000000,3,0,PAR
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,14,3,reg,A,372.000000,330.000000,10.000000,4,1,BOGEY
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,15,3,reg,A,260.000000,203.000000,16.000000,3,0,PAR
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,16,3,reg,A,268.000000,240.000000,36.000000,2,-1,BIRDIE
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,17,3,reg,B,236.000000,129.000000,20.000000,4,1,BOGEY
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,18,3,reg,B,351.000000,302.000000,12.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,1,3,reg,X,294.000000,267.000000,5.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,2,3,reg,X,325.000000,363.000000,10.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,3,3,reg,X,281.000000,243.000000,6.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,4,3,reg,X,441.000000,372.000000,4.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,5,3,reg,X,238.000000,292.000000,12.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,6,3,reg,X,334.000000,275.000000,22.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,7,3,reg,X,340.000000,172.000000,23.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,8,3,reg,X,274.000000,313.000000,3.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,9,3,reg,X,344.000000,361.000000,24.000000,2,-1,BIRDIE
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,10,3,reg,X,390.000000,381.000000,32.000000,2,-1,BIRDIE
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,11,3,reg,X,422.000000,367.000000,5.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,12,3,reg,X,296.000000,208.000000,11.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,13,3,reg,X,288.000000,356.000000,14.000000,3,0,PAR
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,14,3,reg,X,317.000000,186.000000,18.000000,3,0,PAR
